Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
main,flight.reservation,Airport,5,0,8,8,37,8,0,0,0.25,3,0
main,flight.reservation,Customer,4,0,10,8,60,13,0,0,0.0,5,3
main,flight.reservation,Passenger,2,0,6,6,40,9,0,0,0.3333333333333333,2,2
main,flight.reservation.flight,Flight,4,0,9,6,43,10,1,0,0.0,1,3
main,flight.reservation.flight,FlightBuilder,4,0,9,5,65,9,0,0,0.5555555555555556,1,2
main,flight.reservation.flight,Schedule,1,0,7,7,31,9,0,0,0.0,1,2
main,flight.reservation.flight,ScheduledFlight,3,0,11,11,43,11,0,1,0.18181818181818182,4,2
main,flight.reservation.observer,PassengerNotificationService,0,0,2,2,27,2,0,1,-1.0,1,2
main,flight.reservation.observer,PassengerObserver,0,0,2,0,13,2,1,0,-1.0,1,2
main,flight.reservation.order,FlightOrder,2,0,7,6,44,12,0,1,0.2857142857142857,3,3
main,flight.reservation.order,Order,5,0,10,10,37,10,1,0,0.5,0,1
main,flight.reservation.payment,CreditCard,5,0,7,7,45,9,0,1,0.0,1,0
main,flight.reservation.payment,ExternalPaymentAdapter,3,0,5,3,24,6,0,1,0.0,0,1
main,flight.reservation.payment,ExternalPaymentGateway,0,0,2,0,4,2,0,0,-1.0,1,0
main,flight.reservation.payment,PaymentStrategy,0,0,2,0,4,2,3,0,-1.0,1,0
main,flight.reservation.payment,Paypal,3,1,5,5,32,6,0,1,0.0,1,0
main,flight.reservation.plane,Aircraft,0,0,3,0,5,3,3,0,-1.0,3,0
main,flight.reservation.plane,AircraftFactory,0,0,1,1,14,4,0,0,-1.0,0,0
main,flight.reservation.plane,Helicopter,2,0,4,4,25,6,0,1,0.5,0,0
main,flight.reservation.plane,PassengerDrone,1,0,4,4,20,5,0,1,0.75,0,0
main,flight.reservation.plane,PassengerPlane,3,0,4,4,37,8,0,1,0.0,0,0
main,flight.reservation.validation,CustomerNoFlyListHandler,0,0,1,1,11,3,0,1,-1.0,0,2
main,flight.reservation.validation,FlightCapacityHandler,0,0,1,1,21,3,0,1,-1.0,0,1
main,flight.reservation.validation,PassengerNoFlyListHandler,0,0,1,1,12,3,0,1,-1.0,0,2
main,flight.reservation.validation,ValidationHandler,1,0,2,2,8,2,3,0,1.0,2,2
main,(default package),Runner,4,0,1,1,8,1,0,0,0.0,0,1
