Project Name,Package Name,Type Name,Method Name,Code Smell
main,flight.reservation.flight,Schedule,scheduleFlight,Long Statement
main,flight.reservation.flight,Schedule,removeFlight,Complex Conditional
main,flight.reservation.flight,Schedule,removeFlight,Long Statement
main,flight.reservation.flight,ScheduledFlight,ScheduledFlight,Long Parameter List
main,flight.reservation.flight,ScheduledFlight,ScheduledFlight,Long Parameter List
main,flight.reservation.flight,ScheduledFlight,getCrewMemberCapacity,Magic Number
main,flight.reservation.flight,ScheduledFlight,getCapacity,Magic Number
main,flight.reservation.order,FlightOrder,processOrderWithPayPal,Complex Conditional
main,flight.reservation.payment,CreditCard,CreditCard,Magic Number
main,flight.reservation.plane,Helicopter,Helicopter,Magic Number
main,flight.reservation.plane,Helicopter,Helicopter,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
main,flight.reservation.plane,PassengerPlane,PassengerPlane,Missing default
